wave, intensity
85.98978, 19.04399
87.91824, 17.57844
89.84671, 17.18134
91.77518, 19.22836
93.70364, 21.66796
95.63211, 22.39219
97.56058, 20.71306
99.48904, 18.89181
101.4175, 17.70865
103.3460, 17.46029
105.2744, 16.80953
107.2029, 15.12510
109.1314, 13.26233
111.0598, 12.13208
112.9883, 12.23746
114.9168, 12.73771
116.8452, 13.38731
118.7737, 14.15339
120.7022, 15.53247
122.6306, 17.77412
124.5591, 20.65013
126.4876, 23.94244
128.4160, 27.51525
130.3445, 31.58893
132.2730, 36.29248
134.2014, 41.66706
136.1299, 47.30709
138.0584, 53.79224
139.9868, 60.58056
141.9153, 65.82792
143.8438, 68.38210
145.7722, 70.52151
147.7007, 73.46712
149.6292, 77.57320
151.5576, 77.42442
153.4861, 74.92699
155.4146, 71.34811
157.3430, 68.64014
159.2715, 67.57580
161.2000, 66.71612
163.1284, 65.37704
165.0569, 63.32746
166.9854, 61.68630
168.9138, 60.96830
170.8423, 60.95426
172.7708, 60.35938
174.6992, 58.10160
176.6277, 56.18564
178.5562, 56.04787
180.4846, 58.13408
182.4131, 59.60577
184.3416, 59.87168
186.2701, 59.12120
188.1985, 58.29333
190.1270, 57.27837
192.0555, 56.07051
193.9839, 54.79883
195.9124, 52.95316
197.8409, 52.06109
199.7693, 52.76856
201.6978, 54.53168
203.6263, 55.69989
205.5547, 55.88911
207.4832, 55.77394
209.4117, 55.61255
211.3401, 55.37581
213.2686, 55.02641
215.1971, 54.47697
217.1255, 53.91578
219.0540, 53.62470
220.9825, 53.80778
222.9109, 54.03269
224.8394, 54.16020
226.7679, 54.17741
228.6963, 54.22095
230.6248, 54.28740
232.5533, 54.42733
234.4817, 54.73980
236.4102, 55.24632
238.3387, 55.80291
240.2671, 56.52574
242.1956, 57.54102
244.1241, 58.28001
246.0525, 58.47622
247.9810, 58.25564
249.9095, 58.03782
251.8379, 57.95309
253.7664, 57.65687
255.6949, 57.14041
257.6233, 56.21997
259.5518, 55.94063
261.4803, 56.52857
263.4087, 57.27574
265.3372, 57.59788
267.2657, 57.43343
269.1941, 57.21519
271.1226, 56.85711
273.0511, 56.27502
274.9795, 55.77211
276.9080, 55.61241
278.8365, 55.42514
280.7649, 55.08235
282.6934, 54.27298
284.6219, 54.07906
286.5503, 54.64639
288.4788, 55.71369
290.4073, 56.33997
292.3357, 56.39975
294.2642, 56.47545
296.1927, 56.66637
298.1211, 56.99967
300.0496, 57.18817
301.9781, 57.47672
303.9065, 57.75556
305.8350, 57.75223
307.7635, 57.30951
309.6919, 56.69960
311.6204, 55.79177
313.5489, 54.41348
315.4773, 53.51249
317.4058, 53.42934
319.3343, 53.93376
321.2627, 54.64533
323.1912, 56.13994
325.1197, 57.00216
327.0481, 56.85173
328.9766, 55.96361
330.9051, 55.52354
332.8336, 55.63248
334.7620, 55.73415
336.6905, 55.61369
338.6190, 55.35283
340.5474, 54.94955
342.4759, 54.29640
344.4044, 53.58243
346.3328, 53.12404
348.2613, 52.81609
350.1898, 52.50403
352.1182, 52.25847
354.0467, 52.10321
355.9752, 52.05870
357.9036, 52.60211
359.8321, 53.28376
361.7606, 53.47722
363.6890, 52.70575
365.6175, 51.91531
367.5460, 50.94620
369.4744, 49.82801
371.4029, 48.98347
373.3314, 48.85294
375.2598, 49.10525
377.1883, 49.54134
379.1168, 50.27206
381.0452, 50.22656
382.9737, 48.89454
384.9022, 47.17962
386.8306, 46.44111
388.7591, 48.04644
390.6876, 49.81549
392.6160, 50.54210
394.5445, 49.92741
396.4730, 49.11769
398.4014, 48.91701
400.3299, 48.88261
402.2584, 48.63486
404.1868, 47.62151
406.1153, 46.89639
408.0438, 46.62505
409.9722, 46.79042
411.9007, 47.20968
413.8292, 47.72054
415.7576, 47.68501
417.6861, 47.31583
419.6146, 47.01134
421.5430, 46.97897
423.4715, 46.56459
425.4000, 46.07486
427.3284, 45.77961
429.2569, 45.75147
431.1854, 45.40376
433.1138, 44.76613
435.0423, 44.23204
436.9708, 44.34456
438.8992, 45.35307
440.8277, 46.53426
442.7562, 47.57150
444.6846, 48.33438
446.6131, 48.76297
448.5416, 48.68534
450.4700, 48.12587
452.3985, 47.17142
454.3270, 46.09484
456.2554, 45.60873
458.1839, 45.53419
460.1124, 45.51479
462.0408, 45.04805
463.9693, 44.47657
465.8978, 44.34143
467.8262, 44.84760
469.7547, 45.71568
471.6832, 46.21639
473.6116, 46.35536
475.5401, 46.32688
477.4686, 46.14757
479.3970, 45.88978
481.3255, 45.81470
483.2540, 45.86304
485.1824, 45.98289
487.1109, 46.21344
489.0394, 46.54385
490.9678, 46.56019
492.8963, 46.20534
494.8248, 45.91600
496.7532, 46.23668
498.6817, 46.90601
500.6102, 47.04332
502.5386, 46.43323
504.4671, 45.89141
506.3956, 46.01027
508.3240, 46.26973
510.2525, 46.34969
512.1810, 46.26886
514.1094, 46.14754
516.0379, 45.88232
517.9664, 45.24607
519.8948, 44.53848
521.8233, 44.06541
523.7518, 44.42203
525.6802, 45.13768
527.6087, 45.88020
529.5372, 46.23623
531.4656, 46.29290
533.3941, 46.20523
535.3226, 46.39955
537.2510, 47.31921
539.1795, 48.81396
541.1080, 49.68722
543.0364, 49.01852
544.9649, 47.99535
546.8934, 47.25758
548.8218, 46.90187
550.7503, 47.14817
552.6788, 48.79932
554.6072, 50.25468
556.5357, 49.82450
558.4642, 47.35413
560.3926, 45.90179
562.3211, 46.13461
564.2496, 47.24887
566.1780, 48.26937
568.1065, 49.32971
570.0350, 50.04406
571.9634, 50.19704
573.8919, 50.20816
575.8204, 50.13100
577.7488, 49.21859
579.6773, 48.54823
581.6058, 48.75602
583.5342, 49.91957
585.4627, 50.92114
587.3912, 51.70055
589.3196, 51.90836
591.2481, 51.16072
593.1766, 49.46093
595.1050, 48.78318
597.0335, 49.75304
598.9620, 50.88163
600.8904, 50.83474
602.8189, 49.49371
604.7474, 48.80358
606.6758, 49.80951
608.6043, 51.36065
610.5328, 51.66035
612.4612, 50.86375
614.3897, 50.19054
616.3182, 49.55104
618.2466, 48.49769
620.1751, 48.15782
622.1036, 49.82074
624.0320, 51.35519
625.9605, 51.85626
627.8890, 51.27322
